,user_id,content_id,watch_duration_minutes,device_used,watch_time,rating_given,age,country,preferred_genre,content_type,genre,duration_minutes
0,380,955,147.0,Tablet,2024-07-30 08:42:52.381395,4.0,23,Canada,Documentary,Movie,Drama,155
1,353,955,7.0,Tablet,2024-08-23 08:42:52.421287,5.0,47,Canada,Horror,Movie,Drama,155
2,437,955,89.0,Laptop,2024-06-01 08:42:52.390011,1.0,33,Germany,Sci-Fi,Movie,Drama,155
3,380,1688,121.0,Mobile,2024-11-27 08:42:52.381990,2.0,23,Canada,Documentary,Movie,Documentary,44
4,13,1688,174.0,Mobile,2024-07-18 08:42:52.420244,2.0,41,Australia,Horror,Movie,Documentary,44
5,430,1688,70.0,Laptop,2024-11-21 08:42:52.417526,5.0,24,UK,Sci-Fi,Movie,Documentary,44
6,380,355,52.0,TV,2024-06-12 08:42:52.384191,4.0,23,Canada,Documentary,Movie,Romance,178
7,380,1203,42.0,Mobile,2025-03-29 08:42:52.385175,5.0,23,Canada,Documentary,TV Show,Drama,119
8,380,2686,62.0,Laptop,2024-05-24 08:42:52.387271,2.0,23,Canada,Documentary,TV Show,Documentary,52
9,380,1173,143.0,TV,2024-06-26 08:42:52.388945,,23,Canada,Documentary,Movie,Comedy,44
10,28,1173,109.0,Laptop,2024-10-18 08:42:52.415564,3.0,39,Australia,Drama,Movie,Comedy,44
11,123,1173,83.0,Laptop,2024-06-06 08:42:52.417367,5.0,24,Australia,Romance,Movie,Comedy,44
12,187,1173,89.0,Tablet,2024-08-26 08:42:52.417649,5.0,37,UK,Comedy,Movie,Comedy,44
13,380,2355,94.0,TV,2024-09-07 08:42:52.414899,,23,Canada,Documentary,Movie,Documentary,126
14,344,2355,118.0,Tablet,2024-12-17 08:42:52.415040,1.0,20,USA,Horror,Movie,Documentary,126
15,380,1402,142.0,Mobile,2024-05-07 08:42:52.415589,5.0,23,Canada,Documentary,TV Show,Sci-Fi,129
16,408,1402,112.0,Tablet,2025-04-06 08:42:52.417185,,39,Canada,Documentary,TV Show,Sci-Fi,129
17,287,1402,104.0,Tablet,2024-12-10 08:42:52.386321,2.0,59,Australia,Romance,TV Show,Sci-Fi,129
18,164,1402,124.0,Tablet,2025-03-19 08:42:52.388552,,47,USA,Romance,TV Show,Sci-Fi,129
19,444,1402,84.0,Tablet,2024-07-19 08:42:52.385728,3.0,51,Australia,Drama,TV Show,Sci-Fi,129
20,380,512,11.0,TV,2024-07-20 08:42:52.415707,1.0,23,Canada,Documentary,TV Show,Romance,64
21,380,31,87.0,Mobile,2025-01-22 08:42:52.416141,4.0,23,Canada,Documentary,Movie,Drama,160
22,251,31,,Tablet,2025-02-02 08:42:52.417168,4.0,51,Australia,Comedy,Movie,Drama,160
23,440,31,155.0,Tablet,2024-12-12 08:42:52.389823,,68,India,Comedy,Movie,Drama,160
24,181,31,99.0,Tablet,2025-02-28 08:42:52.415489,4.0,62,Germany,Action,Movie,Drama,160
25,380,1624,119.0,Mobile,2025-01-21 08:42:52.419969,1.0,23,Canada,Documentary,TV Show,Comedy,74
26,483,1624,110.0,Tablet,2024-05-12 08:42:52.383964,5.0,36,Canada,Sci-Fi,TV Show,Comedy,74
27,433,1624,102.0,Mobile,2024-08-23 08:42:52.419461,5.0,37,Australia,Horror,TV Show,Comedy,74
28,141,1624,107.0,Tablet,2025-01-30 08:42:52.383221,3.0,54,Germany,Drama,TV Show,Comedy,74
29,67,1624,122.0,Mobile,2024-11-21 08:42:52.419138,5.0,67,UK,Documentary,TV Show,Comedy,74
30,380,1947,42.0,Tablet,2024-12-04 08:42:52.421091,3.0,23,Canada,Documentary,TV Show,Comedy,84
31,387,1947,47.0,Tablet,2024-07-12 08:42:52.416601,5.0,63,UK,Sci-Fi,TV Show,Comedy,84
32,373,1947,82.0,Laptop,2025-03-11 08:42:52.416666,,66,UK,Romance,TV Show,Comedy,84
33,380,2356,87.0,TV,2025-03-14 08:42:52.422758,3.0,23,Canada,Documentary,TV Show,Romance,110
34,223,2356,168.0,Laptop,2024-05-25 08:42:52.389241,1.0,20,USA,Horror,TV Show,Romance,110
35,387,2356,103.0,Tablet,2025-02-11 08:42:52.416109,1.0,63,UK,Sci-Fi,TV Show,Romance,110
36,163,2356,15.0,Tablet,2024-05-11 08:42:52.390118,2.0,21,UK,Action,TV Show,Romance,110
37,52,2356,32.0,Tablet,2025-02-26 08:42:52.418787,,67,India,Comedy,TV Show,Romance,110
38,168,2307,138.0,Tablet,2025-02-07 08:42:52.381423,,62,USA,Documentary,TV Show,Horror,130
39,398,2307,64.0,TV,2025-03-08 08:42:52.415092,1.0,42,USA,Comedy,TV Show,Horror,130
40,152,2307,37.0,Mobile,2025-01-03 08:42:52.416680,5.0,32,Germany,Sci-Fi,TV Show,Horror,130
41,168,1845,57.0,Laptop,2024-09-18 08:42:52.382729,5.0,62,USA,Documentary,TV Show,Comedy,95
42,257,1845,32.0,TV,2025-01-23 08:42:52.416523,5.0,50,Australia,Sci-Fi,TV Show,Comedy,95
43,444,1845,151.0,Tablet,2024-11-16 08:42:52.385752,,51,Australia,Drama,TV Show,Comedy,95
44,168,547,56.0,Mobile,2024-07-19 08:42:52.383762,5.0,62,USA,Documentary,TV Show,Drama,83
45,494,547,137.0,Mobile,2024-09-06 08:42:52.389841,4.0,51,UK,Romance,TV Show,Drama,83
46,168,246,14.0,Laptop,2024-07-20 08:42:52.384460,5.0,62,USA,Documentary,Movie,Romance,161
47,101,246,124.0,TV,2025-01-27 08:42:52.381917,4.0,62,Germany,Romance,Movie,Romance,161
48,404,246,14.0,TV,2024-11-30 08:42:52.418021,2.0,41,Germany,Documentary,Movie,Romance,161
49,51,246,154.0,Laptop,2024-05-26 08:42:52.389682,1.0,31,UK,Sci-Fi,Movie,Romance,161
50,168,909,173.0,Laptop,2024-10-08 08:42:52.386141,1.0,62,USA,Documentary,Movie,Action,160
51,281,909,176.0,Laptop,2025-01-16 08:42:52.383889,4.0,45,UK,Drama,Movie,Action,160
52,168,2888,131.0,Tablet,2024-04-10 08:42:52.387622,1.0,62,USA,Documentary,Movie,Comedy,89
53,487,2888,78.0,TV,2024-08-08 08:42:52.388265,4.0,43,UK,Drama,Movie,Comedy,89
54,480,2888,95.0,Laptop,2024-05-22 08:42:52.421182,3.0,47,India,Horror,Movie,Comedy,89
55,168,1337,91.0,Tablet,2025-01-01 08:42:52.389714,1.0,62,USA,Documentary,TV Show,Romance,98
56,344,1337,20.0,Mobile,2024-08-03 08:42:52.417868,2.0,20,USA,Horror,TV Show,Romance,98
57,249,1337,132.0,Laptop,2025-02-12 08:42:52.414375,4.0,22,Germany,Documentary,TV Show,Romance,98
58,168,2321,87.0,Laptop,2024-07-08 08:42:52.416469,4.0,62,USA,Documentary,Movie,Documentary,104
59,487,2321,140.0,TV,2024-05-11 08:42:52.381531,4.0,43,UK,Drama,Movie,Documentary,104
60,168,705,166.0,Tablet,2024-10-05 08:42:52.417179,4.0,62,USA,Documentary,TV Show,Drama,105
61,388,705,135.0,TV,2024-06-19 08:42:52.388280,2.0,48,Australia,Sci-Fi,TV Show,Drama,105
62,25,705,45.0,Tablet,2024-04-24 08:42:52.389027,5.0,38,Germany,Sci-Fi,TV Show,Drama,105
63,168,1683,45.0,Mobile,2025-04-09 08:42:52.417378,3.0,62,USA,Documentary,Movie,Comedy,162
64,168,82,105.0,Tablet,2024-07-04 08:42:52.421167,5.0,62,USA,Documentary,Movie,Romance,146
65,381,82,19.0,TV,2024-10-17 08:42:52.416465,5.0,52,Canada,Comedy,Movie,Romance,146
66,70,82,173.0,Laptop,2024-06-05 08:42:52.388826,,19,UK,Action,Movie,Romance,146
67,31,82,57.0,Laptop,2025-02-15 08:42:52.382855,2.0,66,India,Romance,Movie,Romance,146
68,168,2365,146.0,Tablet,2024-10-13 08:42:52.421516,3.0,62,USA,Documentary,TV Show,Drama,31
69,362,2365,132.0,TV,2024-04-29 08:42:52.422101,4.0,38,Australia,Romance,TV Show,Drama,31
70,187,2365,63.0,Mobile,2024-10-10 08:42:52.385251,1.0,37,UK,Comedy,TV Show,Drama,31
71,168,969,41.0,Tablet,2024-11-20 08:42:52.422615,2.0,62,USA,Documentary,TV Show,Romance,49
72,483,969,89.0,Laptop,2024-11-05 08:42:52.421296,1.0,36,Canada,Sci-Fi,TV Show,Romance,49
73,496,969,106.0,TV,2024-12-19 08:42:52.420975,2.0,65,USA,Documentary,TV Show,Romance,49
74,78,969,142.0,Tablet,2024-06-27 08:42:52.419515,4.0,51,India,Action,TV Show,Romance,49
75,45,2826,72.0,Mobile,2024-05-12 08:42:52.381429,4.0,38,UK,Action,Movie,Documentary,85
76,45,405,68.0,Mobile,2024-12-30 08:42:52.382793,2.0,38,UK,Action,TV Show,Horror,30
77,394,405,75.0,Laptop,2024-11-04 08:42:52.415118,4.0,40,UK,Documentary,TV Show,Horror,30
78,45,2804,17.0,TV,2025-03-12 08:42:52.386444,4.0,38,UK,Action,TV Show,Documentary,121
79,415,2804,90.0,TV,2024-05-03 08:42:52.416548,4.0,34,UK,Action,TV Show,Documentary,121
80,45,1557,60.0,Mobile,2024-06-26 08:42:52.417069,5.0,38,UK,Action,Movie,Sci-Fi,69
81,402,1557,,Tablet,2024-12-08 08:42:52.420354,4.0,57,India,Horror,Movie,Sci-Fi,69
82,221,1557,56.0,TV,2024-09-09 08:42:52.387262,3.0,56,UK,Horror,Movie,Sci-Fi,69
83,98,1557,130.0,Laptop,2024-05-18 08:42:52.417031,4.0,58,USA,Sci-Fi,Movie,Sci-Fi,69
84,45,2732,121.0,Tablet,2024-06-03 08:42:52.417214,3.0,38,UK,Action,Movie,Romance,158
85,218,2732,76.0,TV,2024-04-19 08:42:52.415260,1.0,66,UK,Romance,Movie,Romance,158
86,102,2732,146.0,Mobile,2024-04-15 08:42:52.383542,5.0,18,USA,Documentary,Movie,Romance,158
87,312,2732,162.0,Mobile,2024-11-23 08:42:52.415870,5.0,41,Germany,Action,Movie,Romance,158
88,45,1114,63.0,Laptop,2024-12-13 08:42:52.417495,5.0,38,UK,Action,TV Show,Sci-Fi,116
89,45,2774,109.0,Mobile,2025-02-06 08:42:52.418576,5.0,38,UK,Action,TV Show,Comedy,66
90,401,2774,,Mobile,2024-05-20 08:42:52.419198,1.0,20,Germany,Comedy,TV Show,Comedy,66
91,92,2774,19.0,Laptop,2024-12-06 08:42:52.417098,,35,Canada,Documentary,TV Show,Comedy,66
92,57,2774,66.0,Tablet,2024-05-01 08:42:52.385772,3.0,45,Germany,Documentary,TV Show,Comedy,66
93,45,2443,,Mobile,2024-08-06 08:42:52.420083,1.0,38,UK,Action,TV Show,Sci-Fi,107
94,111,2443,167.0,Laptop,2024-06-05 08:42:52.381699,,28,UK,Romance,TV Show,Sci-Fi,107
95,462,2443,163.0,Laptop,2025-04-04 08:42:52.385496,4.0,61,Germany,Comedy,TV Show,Sci-Fi,107
96,452,2168,26.0,TV,2024-11-20 08:42:52.381434,,39,Australia,Horror,Movie,Horror,96
97,452,1044,29.0,Mobile,2024-10-01 08:42:52.385778,4.0,39,Australia,Horror,TV Show,Romance,111
98,278,1044,139.0,TV,2025-02-15 08:42:52.382333,2.0,57,Germany,Action,TV Show,Romance,111
99,452,112,151.0,Laptop,2024-05-15 08:42:52.386437,2.0,39,Australia,Horror,TV Show,Documentary,64
100,42,112,12.0,Mobile,2025-03-07 08:42:52.417034,2.0,54,USA,Documentary,TV Show,Documentary,64
101,293,112,108.0,Tablet,2024-09-03 08:42:52.381801,4.0,69,India,Documentary,TV Show,Documentary,64
102,477,112,56.0,Mobile,2024-09-19 08:42:52.418802,4.0,30,Canada,Horror,TV Show,Documentary,64
103,481,112,47.0,Tablet,2024-05-27 08:42:52.422484,4.0,36,India,Drama,TV Show,Documentary,64
104,452,2434,65.0,Mobile,2024-06-10 08:42:52.386667,4.0,39,Australia,Horror,TV Show,Sci-Fi,176
105,374,2434,50.0,Laptop,2024-11-28 08:42:52.385271,5.0,34,India,Sci-Fi,TV Show,Sci-Fi,176
106,452,570,6.0,Laptop,2025-03-05 08:42:52.388263,4.0,39,Australia,Horror,TV Show,Drama,71
107,307,570,149.0,Laptop,2025-03-20 08:42:52.386786,5.0,33,USA,Horror,TV Show,Drama,71
108,452,1464,108.0,Tablet,2024-06-24 08:42:52.421842,4.0,39,Australia,Horror,Movie,Drama,84
109,393,976,36.0,Laptop,2025-03-10 08:42:52.381439,1.0,49,Germany,Romance,Movie,Romance,107
110,393,2342,19.0,TV,2024-11-12 08:42:52.381692,5.0,49,Germany,Romance,TV Show,Action,178
111,371,2342,160.0,TV,2025-03-18 08:42:52.421631,5.0,21,Canada,Drama,TV Show,Action,178
112,63,2342,88.0,Mobile,2024-07-10 08:42:52.420761,3.0,52,USA,Action,TV Show,Action,178
113,232,2342,100.0,Laptop,2025-01-22 08:42:52.388131,,40,Germany,Comedy,TV Show,Action,178
114,393,1944,85.0,Laptop,2025-02-06 08:42:52.383756,5.0,49,Germany,Romance,TV Show,Documentary,54
115,393,1095,151.0,Mobile,2025-04-06 08:42:52.384428,1.0,49,Germany,Romance,Movie,Comedy,86
116,111,1095,94.0,Tablet,2024-08-14 08:42:52.389711,4.0,28,UK,Romance,Movie,Comedy,86
117,291,1095,129.0,Laptop,2024-11-19 08:42:52.384600,4.0,43,USA,Horror,Movie,Comedy,86
118,469,1095,17.0,Tablet,2024-07-15 08:42:52.383699,2.0,49,India,Romance,Movie,Comedy,86
119,351,1095,124.0,Tablet,2025-02-23 08:42:52.384614,4.0,39,Australia,Drama,Movie,Comedy,86
120,393,1719,7.0,Laptop,2024-11-11 08:42:52.384585,1.0,49,Germany,Romance,Movie,Horror,44
121,179,1719,49.0,Tablet,2024-07-10 08:42:52.417127,3.0,19,Germany,Action,Movie,Horror,44
122,393,1490,20.0,Tablet,2024-10-07 08:42:52.386246,3.0,49,Germany,Romance,Movie,Drama,155
123,464,1490,105.0,TV,2024-10-10 08:42:52.389785,2.0,22,Australia,Documentary,Movie,Drama,155
124,218,1490,28.0,Laptop,2024-08-29 08:42:52.417734,5.0,66,UK,Romance,Movie,Drama,155
125,393,1530,170.0,Laptop,2025-01-02 08:42:52.387789,5.0,49,Germany,Romance,TV Show,Sci-Fi,170
126,167,1530,48.0,Laptop,2024-05-17 08:42:52.381481,3.0,56,UK,Documentary,TV Show,Sci-Fi,170
127,99,1530,169.0,Tablet,2025-02-27 08:42:52.417020,3.0,46,UK,Comedy,TV Show,Sci-Fi,170
128,38,1530,136.0,Tablet,2024-04-28 08:42:52.388388,5.0,68,India,Sci-Fi,TV Show,Sci-Fi,170
129,415,1530,75.0,Mobile,2025-03-09 08:42:52.416234,4.0,34,UK,Action,TV Show,Sci-Fi,170
130,393,2821,106.0,Tablet,2024-05-01 08:42:52.389491,5.0,49,Germany,Romance,TV Show,Documentary,35
131,393,1983,98.0,Tablet,2024-04-27 08:42:52.415282,4.0,49,Germany,Romance,TV Show,Comedy,114
132,196,1983,167.0,Mobile,2024-06-28 08:42:52.418308,5.0,69,Germany,Action,TV Show,Comedy,114
133,57,1983,167.0,TV,2025-03-27 08:42:52.388625,5.0,45,Germany,Documentary,TV Show,Comedy,114
134,393,1417,148.0,Tablet,2025-03-16 08:42:52.418454,5.0,49,Germany,Romance,TV Show,Documentary,41
